Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
REGENCY PARK,"5,125,000","2,249.68","2,278",Sep-24,NATHAN ROAD,Resale,Strata,209.0,"24,522",-,Condominium,1,Freehold,10,Core Central Region,01 to 05,10,2278,Private-Condominium-Freehold
HILLHAVEN,"2,064,055","1,011.82","2,040",Sep-24,HILLVIEW RISE,New Sale,Strata,94.0,"21,958",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,11 to 15,23,2040,Private-Condominium-99 yrs lease commencing from 2023
SORA,"1,644,000",731.95,"2,246",Sep-24,YUAN CHING ROAD,New Sale,Strata,68.0,"24,176",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10,22,2246,Private-Apartment-99 yrs lease commencing from 2023
PARC CLEMATIS,"1,900,000",914.94,"2,077",Sep-24,JALAN LEMPENG,Sub Sale,Strata,85.0,"22,353",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,01 to 05,5,2077,Private-Apartment-99 yrs lease commencing from 2019
TEMBUSU GRAND,"3,336,000","1,431.61","2,330",Sep-24,JALAN TEMBUSU,New Sale,Strata,133.0,"25,083",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,15,2330,Private-Condominium-99 yrs lease commencing from 2022
TEMBUSU GRAND,"3,517,000","1,431.61","2,457",Sep-24,JALAN TEMBUSU,New Sale,Strata,133.0,"26,444",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,15,2457,Private-Condominium-99 yrs lease commencing from 2022
SELETAR PARK RESIDENCE,"1,285,000","1,076.4","1,194",Sep-24,SELETAR ROAD,Resale,Strata,100.0,"12,850",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05,28,1194,Private-Condominium-99 yrs lease commencing from 2011
EIGHT RIVERSUITES,"2,000,000","1,194.8","1,674",Sep-24,WHAMPOA EAST,Resale,Strata,111.0,"18,018",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25,12,1674,Private-Condominium-99 yrs lease commencing from 2011
STIRLING RESIDENCES,"1,038,000",441.32,"2,352",Sep-24,STIRLING ROAD,Resale,Strata,41.0,"25,317",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,06 to 10,3,2352,Private-Apartment-99 yrs lease commencing from 2017
THE WOODGROVE,"970,000","1,033.34",939,Sep-24,WOODGROVE DRIVE,Resale,Strata,96.0,"10,104",-,Apartment,1,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10,25,939,Private-Apartment-99 yrs lease commencing from 1996
