Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"4,828,888","2,736.21","1,765",May-26,KOVAN ROAD,New Sale,Land,254.2,"18,996",-,Terrace House,1,Freehold,19,Outside Central Region,-
GOLDEN HILL ESTATE,"4,535,000","1,951.51","2,324",May-26,LI HWAN DRIVE,Resale,Land,181.3,"25,014",-,Terrace House,1,Freehold,19,Outside Central Region,-
CLEMENTI GARDENS,"7,100,000","3,377.74","2,102",May-26,CLEMENTI CRESCENT,Resale,Land,313.8,"22,626",-,Terrace House,1,Freehold,21,Rest of Central Region,-
CHANGI HEIGHTS,"3,855,000","1,815.89","2,123",May-26,JALAN SINAR BULAN,Resale,Land,168.7,"22,851",-,Terrace House,1,Freehold,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,850,000","2,811.56","1,725",May-26,JALAN TANJONG,Resale,Land,261.2,"18,568",-,Terrace House,1,Freehold,16,Outside Central Region,-
LUCKY HILL,"3,990,000","1,688.87","2,363",May-26,BEDOK TERRACE,Resale,Land,156.9,"25,430",-,Terrace House,1,999 yrs lease commencing from 1878,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,208,050","4,559.63","1,362",May-26,LORONG G TELOK KURAU,Resale,Land,423.6,"14,655",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
GENTLE VILLAS,"5,800,000","6,184.99",938,May-26,GENTLE DRIVE,Resale,Land,574.6,"10,094",-,Detached House,1,99 yrs lease commencing from 1993,11,Core Central Region,-
PAVILION PARK,"4,828,888","2,152.8","2,243",May-26,PAVILION GROVE,Resale,Land,200,"24,144",-,Semi-Detached House,1,Freehold,23,Outside Central Region,-
THOMSON HILLS ESTATE,"5,950,000","3,503.68","1,698",May-26,THOMSON GREEN,Resale,Land,325.5,"18,280",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,018,000","3,300.24","1,824",May-26,SENNETT PLACE,Resale,Land,306.6,"19,628",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
SPRINGLEAF GARDEN,"5,180,000","3,553.2","1,458",May-26,SPRINGLEAF RISE,Resale,Land,330.1,"15,692",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,138,000","2,878.29","2,133",May-26,THOMSON RIDGE,Resale,Land,267.4,"22,954",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
CHANGI HEIGHTS,"6,100,000","6,135.48",994,May-26,TOH HEIGHTS,Resale,Land,570,"10,702",-,Semi-Detached House,1,Freehold,17,Outside Central Region,-
MAYFAIR PARK,"2,190,000","3,540.28",619,May-26,JALAN WAJEK,Resale,Land,328.9,"6,659",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,500,000","1,614.6","4,026",May-26,WOO MON CHEW ROAD,Resale,Land,150,"43,333",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,308,000","3,923.48","1,353",May-26,JALAN ANGIN LAUT,Resale,Land,364.5,"14,562",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,308,800","3,661.91","1,723",May-26,JALAN POKOK SERUNAI,Resale,Land,340.2,"18,544",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,380,000","2,204.47","2,440",May-26,BURGHLEY DRIVE,Resale,Land,204.8,"26,270",-,Semi-Detached House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","1,825.57","3,122",May-26,JALAN SIANTAN,Resale,Land,169.6,"33,608",-,Terrace House,1,Freehold,10,Core Central Region,-
