Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE WOODS,"2,628,888","4,004.21",657,May-26,WESTWOOD AVENUE,Resale,Strata,372,"7,067",-,Terrace House,1,99 yrs lease commencing from 2010,22,Outside Central Region,-
CABANA,"2,622,000","2,938.57",892,Apr-26,SUNRISE TERRACE,Resale,Strata,273,"9,604",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
KENT RIDGE HILL RESIDENCES,"2,930,000","1,829.88","1,601",Apr-26,SOUTH BUONA VISTA ROAD,Resale,Strata,170,"17,235",-,Terrace House,1,99 yrs lease commencing from 2018,05,Rest of Central Region,-
CABANA,"2,900,000","3,067.74",945,Apr-26,SUNRISE TERRACE,Resale,Strata,285,"10,175",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
SELETAR VIEW,"3,320,000","3,293.78","1,008",Apr-26,SELETAR HILLS DRIVE,Resale,Strata,306,"10,850",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SPRINGHILL,"2,480,000","3,046.21",814,Apr-26,SEMBAWANG WALK,Resale,Strata,283,"8,763",-,Terrace House,1,99 yrs lease commencing from 2002,27,Outside Central Region,01 to 05
POETS VILLAS,"3,100,000","3,692.05",840,Apr-26,TAGORE AVENUE,Resale,Strata,343,"9,038",-,Semi-Detached House,1,99 yrs lease commencing from 2010,26,Outside Central Region,-
CHARLTON 27,"4,398,000","5,952.49",739,Apr-26,SURIN AVENUE,Resale,Strata,553,"7,953",-,Terrace House,1,Freehold,19,Outside Central Region,-
LOTUS VILLE,"3,900,000","4,111.85",948,Apr-26,LORONG L TELOK KURAU,Resale,Strata,382,"10,209",-,Terrace House,1,Freehold,15,Outside Central Region,-
SUMMER GARDENS,"2,700,000","3,272.26",825,Apr-26,UPPER CHANGI ROAD EAST,Resale,Strata,304,"8,882",-,Terrace House,1,99 yrs lease commencing from 1995,16,Outside Central Region,-
CHARLTON 27,"3,968,000","4,757.69",834,Apr-26,SURIN AVENUE,Resale,Strata,442,"8,977",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN VIEW,"2,880,000","2,185.09","1,318",Apr-26,JALAN HWI YOH,Resale,Strata,203,"14,187",-,Terrace House,1,999 yrs lease commencing from 1879,19,Outside Central Region,-
HORIZON GREEN,"2,975,000","3,132.32",950,Apr-26,ANG MO KIO AVENUE 2,Resale,Strata,291,"10,223",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
CABANA,"2,750,000","2,917.04",943,Apr-26,SUNRISE TERRACE,Resale,Strata,271,"10,148",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,888,888","2,992.39",965,Apr-26,SUNRISE TERRACE,Resale,Strata,278,"10,392",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
SHAMROCK VILLAS,"5,450,000","6,135.48",888,Apr-26,NAMLY PLACE,Resale,Strata,570,"9,561",-,Detached House,1,Freehold,10,Core Central Region,-
ALANA,"2,580,000","2,755.58",936,Apr-26,SUNRISE TERRACE,Resale,Strata,256,"10,078",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
THOMSON GRAND,"4,010,000","5,317.42",754,Apr-26,SIN MING WALK,Resale,Strata,494,"8,117",-,Terrace House,1,99 yrs lease commencing from 2010,20,Rest of Central Region,-
OPERA ESTATE,"3,200,000","1,894.46","1,689",Apr-26,FIDELIO STREET,Resale,Strata,176,"18,182",-,Terrace House,1,Freehold,15,Outside Central Region,-
KEW GATE,"2,380,000","2,518.78",945,Apr-26,LIMAU GARDEN,Resale,Strata,234,"10,171",-,Terrace House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
